,DATE,食パン,即席めん,ゆでうどん,小麦粉,牛乳,チーズ,豆腐,食用油（キャノーラ油）,食用油（サラダ油）,マーガリン,マヨネーズ,しょう油,みそ,かまぼこ,まぐろ缶詰,バター
0,2023-02-01,514.0,182.0,34.9,326.0,288.0,239.0,24.9,512.0,501.0,97.8,375.0,308.0,496.0,189.0,187.0,440.0
0,2023-01-01,518.0,182.0,35.0,327.0,288.0,236.0,25.0,512.0,498.0,96.8,377.0,308.0,491.0,189.0,178.0,440.0
0,2022-12-01,521.0,181.0,34.9,324.0,286.0,224.0,24.8,509.0,502.0,96.2,373.0,307.0,493.0,188.0,170.0,440.0
0,2022-11-01,517.0,181.0,34.6,323.0,284.0,233.0,24.7,509.0,495.0,96.1,375.0,308.0,493.0,186.0,170.0,440.0
0,2022-10-01,515.0,180.0,34.8,324.0,266.0,231.0,24.7,507.0,496.0,95.9,367.0,309.0,492.0,186.0,169.0,440.0
0,2022-09-01,514.0,180.0,34.5,322.0,267.0,218.0,24.0,495.0,480.0,93.4,340.0,311.0,488.0,182.0,166.0,440.0
0,2022-08-01,516.0,182.0,34.0,319.0,265.0,211.0,23.9,468.0,471.0,85.3,344.0,309.0,482.0,175.0,160.0,443.0
0,2022-07-01,510.0,182.0,33.9,311.0,266.0,212.0,23.8,439.0,441.0,85.4,341.0,309.0,479.0,176.0,162.0,442.0
0,2022-06-01,492.0,180.0,33.8,304.0,265.0,212.0,23.7,419.0,418.0,85.3,344.0,307.0,474.0,176.0,161.0,443.0
0,2022-05-01,486.0,162.0,33.7,303.0,267.0,211.0,23.6,413.0,410.0,84.8,341.0,306.0,478.0,175.0,161.0,443.0
0,2022-04-01,488.0,162.0,33.5,302.0,266.0,212.0,23.4,409.0,404.0,84.8,341.0,306.0,475.0,174.0,160.0,443.0
0,2022-03-01,486.0,162.0,32.2,298.0,265.0,199.0,23.5,399.0,394.0,84.8,326.0,296.0,472.0,169.0,161.0,445.0
0,2022-02-01,489.0,161.0,31.6,292.0,264.0,199.0,23.3,388.0,393.0,84.6,308.0,285.0,471.0,166.0,162.0,445.0
0,2022-01-01,474.0,161.0,31.6,280.0,265.0,199.0,23.4,376.0,383.0,85.0,308.0,285.0,469.0,166.0,163.0,445.0
0,2021-12-01,457.0,160.0,31.6,274.0,264.0,186.0,23.2,367.0,380.0,85.1,307.0,284.0,468.0,165.0,161.0,445.0
0,2021-11-01,456.0,162.0,31.5,279.0,265.0,189.0,23.3,364.0,376.0,84.8,310.0,287.0,474.0,166.0,161.0,445.0
0,2021-10-01,458.0,162.0,31.7,277.0,265.0,199.0,23.2,356.0,369.0,83.2,310.0,286.0,472.0,165.0,160.0,446.0
0,2021-09-01,459.0,162.0,30.1,281.0,264.0,208.0,24.2,344.0,369.0,81.2,310.0,299.0,493.0,165.0,163.0,444.0
0,2021-08-01,453.0,162.0,30.5,274.0,263.0,200.0,23.3,335.0,358.0,78.9,308.0,288.0,475.0,164.0,163.0,444.0
0,2021-07-01,454.0,162.0,31.2,271.0,265.0,201.0,23.1,318.0,346.0,77.8,304.0,286.0,471.0,165.0,162.0,444.0
0,2021-06-01,457.0,163.0,31.6,269.0,263.0,188.0,23.1,316.0,342.0,73.4,288.0,290.0,479.0,165.0,160.0,445.0
0,2021-05-01,455.0,163.0,31.4,267.0,266.0,199.0,22.9,310.0,338.0,73.9,284.0,288.0,477.0,167.0,162.0,444.0
0,2021-04-01,458.0,163.0,31.6,266.0,265.0,200.0,22.7,312.0,334.0,77.2,284.0,285.0,472.0,166.0,160.0,445.0
0,2020-09-01,463.0,163.0,31.3,269.0,267.0,204.0,22.8,313.0,339.0,77.9,286.0,286.0,478.0,166.0,162.0,447.0
0,2020-06-01,464.0,164.0,31.5,270.0,264.0,198.0,23.2,317.0,345.0,78.2,291.0,289.0,480.0,166.0,163.0,447.0
0,2020-05-01,470.0,164.0,30.4,274.0,267.0,194.0,23.6,317.0,345.0,77.3,293.0,295.0,490.0,168.0,163.0,448.0
0,2020-04-01,463.0,164.0,31.2,266.0,266.0,203.0,23.1,316.0,345.0,77.5,293.0,288.0,480.0,166.0,162.0,445.0
0,2020-03-01,463.0,164.0,31.2,266.0,266.0,203.0,23.1,316.0,345.0,77.5,293.0,288.0,480.0,166.0,162.0,445.0
0,2020-02-01,466.0,165.0,31.6,266.0,265.0,206.0,23.1,317.0,345.0,78.4,296.0,287.0,485.0,167.0,163.0,445.0
0,2020-01-01,470.0,165.0,31.5,266.0,267.0,203.0,23.2,321.0,347.0,78.3,297.0,287.0,481.0,167.0,163.0,445.0
0,2019-04-01,471.0,154.0,31.4,267.0,265.0,207.0,23.2,332.0,353.0,76.7,301.0,289.0,484.0,166.0,161.0,443.0
0,2019-03-01,473.0,155.0,31.2,267.0,257.0,206.0,23.3,327.0,353.0,79.2,300.0,288.0,479.0,164.0,161.0,443.0
0,2019-02-01,472.0,155.0,31.2,266.0,258.0,206.0,23.4,326.0,347.0,79.4,307.0,288.0,485.0,164.0,162.0,443.0
0,2019-01-01,472.0,155.0,31.1,265.0,257.0,208.0,23.4,334.0,355.0,79.6,307.0,290.0,485.0,163.0,161.0,443.0
0,2018-12-01,475.0,155.0,31.2,263.0,257.0,209.0,23.4,330.0,357.0,79.4,304.0,291.0,488.0,163.0,160.0,443.0
0,2018-11-01,473.0,156.0,31.3,264.0,257.0,207.0,23.6,343.0,359.0,80.2,305.0,294.0,491.0,164.0,159.0,443.0
0,2018-10-01,473.0,156.0,31.2,264.0,258.0,209.0,23.7,332.0,359.0,78.8,306.0,293.0,489.0,165.0,157.0,442.0
