DATE,キャベツ,ねぎ,レタス,ばれいしょ,たまねぎ,きゅうり,トマト,ほうれんそう,にんじん,はくさい,だいこん,なす
2017-11-06,205.2,,228.9,,,,137.025,,,94.5,192.0,
2017-11-13,237.6,,272.7,,,,134.925,,,97.5,190.0,
2017-11-20,235.2,,261.9,,,,132.475,,,104.5,190.0,
2017-11-27,248.4,,290.7,,,,133.35,,,118.0,204.0,
2017-12-04,265.2,,332.7,,,,138.95,,,121.5,215.0,
2017-12-11,271.2,,313.8,,,,145.425,,,125.0,216.0,
2017-12-18,303.6,,321.6,,,,147.175,,,128.0,230.0,
2017-12-25,391.2,,369.0,,,,152.95,,,142.5,269.0,
2018-01-08,470.4,,414.6,,,,151.9,,,169.0,330.0,
2018-01-15,502.8,,379.2,,,,146.125,,,181.0,342.0,
2018-01-22,452.4,,315.6,,,,135.625,,,176.5,321.0,
2018-01-29,421.2,,279.3,,,,128.1,,,175.0,290.0,
2018-02-05,427.2,,281.4,,,,124.6,,,175.5,285.0,
2018-02-12,500.4,,315.6,,,,122.5,,,190.5,323.0,
2018-02-19,546.0,,314.4,,,,123.725,,,193.0,325.0,
2018-02-26,570.0,,287.1,,,,124.075,,,194.5,319.0,
2018-03-05,518.4,,228.9,,,,123.2,,,191.0,320.0,
2018-03-12,402.0,,162.0,,,,120.575,,,173.5,296.0,
2018-03-19,302.4,,126.0,,,,117.6,,,154.0,240.0,
2018-03-26,284.4,,118.5,,,,114.975,,,144.5,205.0,
2018-04-02,258.0,,110.1,,,,113.225,,,140.0,186.0,
2018-04-09,247.2,,107.1,,,49.2,112.35,,,,171.0,
2018-04-16,241.2,,104.4,,,46.4,110.425,,,,163.0,
2018-04-23,243.6,,104.4,,,45.7,110.95,,,,165.0,
2018-05-07,216.0,,100.2,,,45.2,107.8,,,,164.0,
2018-05-14,186.0,,99.0,,,49.5,105.35,,,,157.0,
2018-05-21,174.0,,100.8,,,52.8,102.2,,,,165.0,
2018-05-28,170.4,,117.9,,,50.4,98.875,,,,173.0,
2018-06-04,164.4,,108.9,,,48.2,99.4,,,,,
2018-06-11,169.2,,100.2,,,47.1,98.175,,,,,
2018-06-18,177.6,,98.1,,,48.3,98.0,,,,,
2018-06-25,202.8,,104.7,,,52.4,99.925,,,,,
2018-07-02,199.2,,96.6,,,51.2,103.425,,,,,
2018-07-09,201.6,,92.1,,,53.4,105.0,,,,,
2018-07-16,193.2,,100.2,,,79.1,106.4,,,,,
2018-07-23,220.8,,115.2,,,71.2,110.25,,,,,
2018-07-30,301.2,,171.9,,,65.8,115.5,,,,,
2018-08-06,308.4,,147.6,,,62.9,116.725,,,,,
2018-08-13,276.0,,141.0,,,70.8,129.85,,,,,
2018-08-20,243.6,,129.0,,,70.3,139.65,,,,,
2018-08-27,213.6,,131.4,,,76.5,154.7,,,,,
2018-09-03,193.2,,134.7,,,74.0,172.9,,,,,
2018-09-10,180.0,,148.2,,,74.6,176.575,,,,,
2018-09-17,177.6,,151.8,,,75.4,166.6,,,,,
2018-09-24,182.4,,168.3,,,73.4,159.775,,,,,
2018-10-01,192.0,96.7,165.9,,54.2,,159.6,278.6,,142.5,215.0,
2018-10-08,220.8,102.4,188.4,,53.0,,156.8,286.6,,160.0,218.0,
2018-10-15,214.8,97.6,178.2,,53.6,,152.775,264.8,,146.5,199.0,
2018-10-22,212.4,93.5,175.5,,52.8,,149.975,255.0,,125.0,190.0,
2018-10-29,228.0,89.7,163.8,,52.8,,154.35,233.0,,120.5,195.0,
2018-11-05,238.9903846,87.43762136,144.5800475,,53.06958638,,157.6935022,211.760584,,115.7925,183.5240385,
2018-11-12,228.0,81.1,130.8,,52.6,,156.1,186.2,,104.0,161.0,
2018-11-19,194.322488,75.52688679,110.6636139,,52.80516432,,151.7881726,164.9009756,,86.35945275,142.1334951,
2018-11-26,178.5605634,72.11075795,99.92230215,,52.6364929,,141.8231461,149.9315,,74.2186732,128.0125945,
2018-12-03,171.6,70.1,99.6,,52.8,,132.65,153.8,,68.0,116.0,
2018-12-10,169.2,68.9,101.1,,53.4,,127.4,151.6,,63.5,112.0,
2018-12-17,160.8,66.4,100.5,,53.0,,124.25,152.4,,60.5,108.0,
2018-12-24,179.7629629,71.55609756,130.0123188,,53.9822014,,125.6604167,175.6921951,,62.49054055,119.6959799,
2019-01-07,199.2,78.3,155.4,,54.6,,125.3,197.0,,65.5,139.0,
2019-01-14,198.0,73.4,171.3,,55.2,,118.475,189.8,,63.0,132.0,
2019-01-21,201.6,66.7,163.8,,56.4,,117.075,182.4,,63.0,131.0,
2019-01-28,208.8,65.5,153.0,,57.4,,115.675,179.4,,63.0,129.0,
2019-02-04,220.8,63.6,143.7,,58.8,,114.625,177.4,,61.0,139.0,
2019-02-11,211.2,63.3,135.0,,59.2,,115.675,166.6,,62.5,147.0,
2019-02-18,188.4,61.0,128.7,,59.6,,115.325,156.2,,61.0,141.0,
2019-02-25,174.0,60.9,124.2,,60.2,,116.2,145.8,,61.5,131.0,
2019-03-04,160.5826087,58.85057737,117.8145986,,60.82786516,,116.4568548,134.5427848,,62.82386365,122.6456311,
2019-03-11,154.8,55.9,111.9,,60.4,,118.475,129.8,,65.0,125.0,
2019-03-18,151.2,54.2,106.5,,59.8,,117.6,127.8,,72.5,127.0,
2019-03-25,154.8,52.0,114.9,,59.8,,120.575,143.2,,80.5,133.0,
2019-04-01,158.4,52.6,116.7,51.0,60.2,55.0,120.575,,,,,56.4
2019-04-08,187.2,52.7,129.0,51.0,58.6,51.0,120.575,,,,,54.16
2019-04-15,232.8,55.5,138.3,51.3,58.8,49.0,119.0,,,,,52.64
2019-04-22,225.6,56.6,129.9,52.05,57.8,47.9,116.025,,,,,52.72
2019-05-06,204.0,63.5,121.2,53.25,55.0,44.0,106.225,,,,,49.52
2019-05-13,217.2,66.0,122.1,54.75,54.0,46.1,103.95,,,,,47.92
2019-05-20,247.2,67.1,117.9,53.4,52.6,45.5,102.2,,,,,45.92
2019-05-27,235.2,69.6,113.7,52.65,50.0,45.1,99.575,,,,,46.32
2019-06-03,213.6,71.67158837,100.4309406,52.65282353,49.34139534,44.12915663,97.47330098,,,,,45.14535626
2019-06-10,205.2,72.41098655,96.69060915,52.87763466,49.36150234,44.86706731,96.77416268,,,,,47.04685714
2019-06-17,192.0,74.2,99.6,51.75,47.8,48.2,97.825,,,,,49.28
2019-06-24,180.0,75.2,97.2,51.45,47.8,50.7,98.7,,,,,48.72
2019-07-01,184.8,73.8,87.6,52.2,46.8,49.5,99.925,,,,,47.76
2019-07-08,178.8,74.5,86.4,53.1,46.6,49.0,98.0,,,,,46.24
2019-07-15,186.0,75.2,90.0,55.05,46.0,60.5,99.225,,,,,50.24
2019-07-22,184.8,74.8,94.8,56.85,46.0,60.9,103.6,,,,,52.96
2019-07-29,192.0,74.6,122.4,58.05,45.8,55.8,105.525,,,,,50.56
2019-08-05,195.764539,76.02562929,123.8127404,58.73472528,46.36438356,51.27283105,102.407634,,,,,49.28
2019-08-12,232.8,76.1,140.7,58.5,46.8,56.1,105.875,,,,,49.76
2019-08-19,254.4,81.9,150.9,58.05,47.8,59.3,106.575,,,,,49.28
2019-08-26,252.0,79.1,149.7,55.95,48.4,62.1,107.975,,,,,48.16
2019-09-02,228.0,75.3,155.1,55.35,49.2,74.6,126.0,,,,,49.76
2019-09-09,224.4,74.9,162.9,53.4,48.8,74.9,143.325,,,,,51.68
2019-09-16,218.4,76.1,173.7,52.5,49.0,64.4,151.725,,,,,52.64
2019-09-23,205.2,76.0,175.8,51.9,49.0,59.4,153.65,,,,,54.96
2019-09-30,205.2,75.5,155.1,50.85,47.8,59.2,159.425,,,,,56.48
2019-10-07,205.2,75.2,138.0,,47.6,,167.65,239.0,,119.5,179.0,
2019-10-14,213.6,73.9,126.9,,47.6,,161.525,220.8,,105.0,172.0,
2019-10-21,195.6,73.6,130.2,,46.6,,151.725,214.0,,95.0,165.0,
2019-10-28,176.4,72.6,144.0,,46.6,,146.3,212.0,,87.5,163.0,
2019-11-04,164.4,70.8,159.6,,47.0,,143.5,214.6,,82.0,164.0,
2019-11-11,174.0,72.1,167.1,,46.8,,148.75,219.6,,86.0,171.0,
2019-11-18,189.6,70.8,166.8,,47.4,,155.4,222.0,,86.5,171.0,
2019-11-25,182.4,71.3,155.1,,46.8,,154.875,212.8,,86.0,167.0,
2019-12-02,172.8,68.2,152.1,,46.6,,151.375,199.2,,82.5,156.0,
2019-12-09,168.0,67.8,142.5,,46.6,,142.275,192.8,,78.5,145.0,
2019-12-16,168.0,66.5,147.9,,46.4,,134.225,198.8,,77.0,143.0,
2019-12-23,174.0,67.7,148.2,,47.0,,128.8,203.6,,76.0,143.0,
2020-01-06,181.2,72.0,151.5,,47.2,,127.05,213.6,,78.5,156.0,
2020-01-13,171.6,66.8,146.4,,47.2,,120.75,198.4,,73.0,146.0,
2020-01-20,157.2,63.2,136.2,,46.8,,116.2,176.2,,73.0,134.0,
2020-01-27,148.8,57.4,138.6,,46.6,,114.625,168.0,,69.0,127.0,
2020-02-03,144.0,54.9,133.5,,46.4,,118.125,163.6,,64.5,121.0,
2020-02-10,139.2,51.1,125.7,,46.6,,124.075,153.6,,65.5,120.0,
2020-02-17,140.4,50.5,125.7,,46.6,,125.125,155.2,,68.5,124.0,
2020-02-24,144.0,49.0,121.5,,46.2,,124.075,149.2,,71.5,128.0,
2020-03-02,142.8,50.0,110.4,,45.8,,120.75,144.0,,78.5,131.0,
2020-03-09,151.2,48.6,112.5,,46.2,,122.675,148.4,,97.5,134.0,
2020-03-16,158.4,48.4,112.2,,45.8,,129.675,148.2,,113.0,136.0,
2020-03-23,172.8,49.4,122.7,,45.4,,131.425,163.6,,126.5,138.0,
2020-03-30,223.2,50.6,141.6,,45.6,,132.125,177.2,,158.5,177.0,
2020-04-06,249.6,54.3,142.8,55.8,45.2,59.6,132.65,,,,,60.64
2020-04-13,282.0,56.9,150.0,57.45,45.2,61.3,133.7,,,,,59.12
2020-04-20,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,
2020-05-11,291.6,66.2,126.0,61.05,43.2,51.3,116.375,,,,,54.88
2020-05-18,270.0,67.8,117.3,62.85,42.4,48.1,107.275,,,,,52.08
2020-05-25,258.0,71.1,117.0,67.05,41.4,51.1,104.125,,,,,49.84
2020-06-01,240.0,74.7,118.8,71.7,43.0,53.9,101.5,,,,,48.56
2020-06-08,230.4,77.4,117.0,75.0,44.4,52.5,101.5,,,,,47.12
2020-06-15,225.6,77.5,99.6,75.75,45.6,50.9,100.1,,,,,47.84
2020-06-22,223.2,78.9,95.7,76.35,46.0,51.9,100.1,,,,,50.24
2020-06-29,224.4,81.8,96.0,79.5,46.6,57.6,107.8,,,,,52.48
2020-07-06,218.4,86.2,95.4,85.05,47.8,57.5,114.625,,,,,52.4
2020-07-13,205.2,97.0,101.1,89.85,49.0,58.8,119.0,,,,,51.28
2020-07-20,204.0,106.4,124.5,94.5,52.8,67.2,116.375,,,,,57.28
2020-07-27,253.2,110.4,186.3,97.8,56.6,73.8,121.275,,,,,64.64
2020-08-03,294.0,107.2,267.3,97.35,60.4,72.3,122.325,,,,,66.48
2020-08-10,349.2,105.4,297.9,93.9,62.4,71.7,122.675,,,,,65.36
2020-08-17,362.4,104.3,268.2,89.7,62.4,71.0,124.775,,,,,66.08
2020-08-24,349.2,97.3,228.3,76.2,59.0,70.4,131.25,,,,,59.44
2020-08-31,338.4,84.9,168.6,64.8,56.2,68.5,134.05,,,,,54.64
2020-09-07,314.4,80.3,149.1,58.35,53.0,66.8,135.625,,,,,51.28
2020-09-14,265.2,77.7,128.4,56.55,51.8,65.9,136.5,,,,,52.56
2020-09-21,238.8,78.8,121.8,54.15,50.2,71.0,136.15,,,,,58.96
2020-09-28,229.2,83.4,121.8,53.25,50.2,70.7,144.375,,,,,60.48
2020-10-05,219.6,84.4,128.4,,49.2,,157.15,,68.775,126.0,210.0,
2020-10-12,225.6,84.1,132.6,,48.0,,163.275,,68.425,115.5,206.0,
2020-10-19,228.0,81.4,129.0,,47.8,,163.8,,68.775,103.5,192.0,
2020-10-26,225.6,79.4,139.2,,48.2,,162.05,,67.9,96.0,185.0,
2020-11-02,210.0,78.7,120.6,,47.6,,160.475,,67.55,91.5,179.0,
2020-11-09,193.2,75.3,109.8,,47.6,,159.95,,68.775,83.0,168.0,
2020-11-16,172.8,72.3,105.3,,46.6,,156.8,,67.9,72.0,152.0,
2020-11-23,157.2,67.5,101.1,,46.6,,143.325,,65.1,65.0,131.0,
2020-11-30,142.8,64.2,93.0,,48.0,,127.225,,64.05,60.0,119.0,
2020-12-07,134.4,61.4,88.2,,46.6,,114.8,,61.25,55.5,110.0,
2020-12-14,133.2,62.6,94.8,,46.6,,113.225,,60.025,53.0,110.0,
2020-12-21,145.2,64.4,109.8,,46.0,,115.5,,59.15,54.0,118.0,
2021-01-04,198.0,82.0,140.7,,47.2,,119.0,,60.55,66.5,165.0,
2021-01-11,214.8,88.3,145.8,,47.4,,116.375,,61.95,68.0,172.0,
2021-01-18,219.6,88.7,147.9,,47.0,,113.575,,63.875,69.0,168.0,
2021-01-25,212.4,76.8,153.9,,47.0,,109.725,,62.65,70.0,159.0,
2021-02-01,208.8,74.4,150.6,,47.0,,106.575,,63.0,68.5,155.0,
2021-02-08,184.8,73.2,137.1,,47.6,,102.9,,61.95,65.0,156.0,
2021-02-15,170.4,73.5,127.8,,47.8,,103.25,,63.0,66.0,146.0,
2021-02-22,163.2,76.0,114.0,,48.0,,103.775,,63.7,65.0,145.0,
2021-03-01,154.8,75.7,102.6,,48.0,,105.175,,67.55,66.5,142.0,
2021-03-08,145.2,75.0,102.9,,48.2,,107.1,,74.9,68.0,142.0,
2021-03-15,147.6,73.8,96.3,,48.2,,107.8,,80.15,71.0,141.0,
2021-03-22,152.4,71.1,101.4,,47.6,,109.725,,81.2,76.0,149.0,
2021-03-29,157.2,70.2,102.0,,48.2,,110.425,,81.725,83.5,154.0,
2021-04-05,157.2,67.8,98.4,82.5,47.4,52.3,110.425,,79.8,,,
2021-04-12,159.6,66.9,94.2,84.15,47.2,51.9,109.2,,76.475,,,
2021-04-19,176.4,70.2,101.4,85.2,47.0,50.4,107.625,,74.55,,,
2021-04-26,178.8,73.5,100.8,85.95,46.4,50.6,106.05,,73.15,,,
2021-05-10,172.8,76.0,96.0,86.7,45.8,48.0,106.05,,71.225,,,
2021-05-17,153.6,74.3,93.0,86.7,46.0,46.0,103.25,,70.175,,,
2021-05-24,146.4,74.0,104.4,85.35,45.8,47.3,101.325,,67.725,,,
2021-05-31,163.2,75.1,152.1,84.3,47.4,64.8,100.45,,66.85,,,
2021-06-07,199.2,78.0,153.9,82.35,48.2,59.3,100.625,,65.8,,,
2021-06-14,198.0,78.1,132.0,77.85,47.6,54.5,102.2,,65.45,,,
2021-06-21,210.0,77.2,109.8,72.75,48.2,51.0,106.05,,65.625,,,
2021-06-28,210.0,76.3,90.0,66.45,48.2,50.3,106.925,,66.15,,,
2021-07-05,205.2,75.6,85.5,62.7,48.8,45.9,115.325,,65.45,,,
2021-07-12,195.6,74.8,98.7,60.6,48.8,45.0,113.925,,65.8,,,
2021-07-19,176.4,74.2,110.7,58.95,49.0,45.6,109.55,,66.325,,,
2021-07-26,175.2,75.6,112.2,58.05,49.6,46.8,110.075,,65.625,,,
2021-08-02,177.6,74.4,120.0,56.85,51.0,46.1,107.275,,68.425,,,
2021-08-09,175.2,75.0,119.1,55.95,51.8,46.1,105.0,,68.6,,,
2021-08-16,180.0,76.4,126.6,56.25,54.0,55.7,105.0,,70.875,,,
2021-08-23,186.0,88.8,154.8,57.45,55.2,91.9,118.65,,71.4,,,
2021-08-30,193.2,88.5,222.0,60.3,55.2,89.4,133.35,,70.7,,,
2021-09-06,190.8,83.6,241.8,61.35,55.0,75.3,142.1,,69.3,,,
2021-09-13,225.6,83.1,285.0,62.55,55.4,74.7,156.8,,68.95,,,
2021-09-20,244.8,84.3,290.4,62.85,55.0,70.6,170.1,,68.95,,,
2021-09-27,264.0,82.2,246.0,63.45,54.6,68.2,172.2,,68.25,,,
2021-10-04,250.8,,191.4,63.9,56.0,,161.525,,66.325,155.0,208.0,
2021-10-11,224.4,,139.2,63.0,55.8,,147.875,,63.35,128.5,198.0,
2021-10-18,194.4,,114.0,62.25,56.0,,140.0,,61.425,100.5,180.0,
2021-10-25,174.0,,108.9,62.25,56.0,,134.575,,60.025,88.0,171.0,
2021-11-01,189.6,,120.3,62.25,58.0,,140.875,,60.2,86.5,168.0,
2021-11-08,201.6,,120.6,62.55,62.2,,149.45,,60.725,86.0,152.0,
2021-11-15,186.0,,110.7,62.7,66.6,,146.65,,63.175,79.0,138.0,
2021-11-22,169.2,,104.1,63.45,70.8,,144.55,,62.3,74.0,128.0,
2021-11-29,154.8,,101.7,63.75,73.6,,145.425,,60.9,70.0,120.0,
2021-12-06,147.6,,97.2,64.65,75.6,,144.55,,59.15,65.5,117.0,
2021-12-13,145.2,,102.6,64.8,76.4,,142.625,,58.1,63.5,116.0,
2021-12-20,146.4,,117.6,64.8,78.2,,135.275,,57.575,62.0,118.0,
2022-01-03,178.8,,157.2,67.65,79.6,,135.45,,59.15,67.5,157.0,
2022-01-10,175.2,,165.6,67.8,80.2,,129.5,,58.625,66.5,149.0,
2022-01-17,177.6,,160.5,68.55,80.6,,124.25,,58.8,65.5,143.0,
2022-01-24,188.4,,163.8,70.05,80.2,,119.175,,58.625,66.5,142.0,
2022-01-31,194.4,,177.6,71.1,80.4,,116.2,,56.7,67.0,148.0,
2022-02-07,204.0,,180.3,71.7,81.6,,114.975,,56.175,65.0,152.0,
2022-02-14,231.6,,192.3,72.3,82.6,,115.5,,55.825,71.5,170.0,
2022-02-21,230.4,,184.2,73.8,82.2,,115.675,,56.175,77.5,186.0,
2022-02-28,226.8,,170.4,73.8,83.6,,115.325,,57.4,81.5,194.0,
2022-03-07,242.4,,163.2,75.6,85.4,,116.025,,57.05,86.0,196.0,
2022-03-14,242.4,,149.7,76.35,87.2,,114.8,,58.8,91.5,193.0,
2022-03-21,240.0,,131.1,76.35,90.6,,114.8,,62.3,99.5,196.0,
2022-03-28,231.6,,127.5,76.5,93.8,,115.675,,63.875,106.0,192.0,
2022-04-04,229.2,57.7,127.8,75.9,96.6,52.0,114.8,,63.7,,,
2022-04-11,244.8,58.0,135.0,78.3,98.0,52.6,116.9,,64.75,,,
2022-04-18,264.0,59.9,132.0,79.65,100.4,51.0,120.225,,64.925,,,
2022-04-25,264.0,60.0,123.0,80.55,104.4,51.1,117.6,,65.8,,,
2022-05-09,254.4,64.2,123.9,82.5,116.2,53.2,114.8,,67.375,,,
2022-05-16,258.0,69.4,125.1,79.2,110.0,51.9,113.575,,65.625,,,
2022-05-23,232.8,72.9,119.7,74.85,106.8,51.0,111.475,,65.1,,,
2022-05-30,226.8,75.9,116.7,69.9,105.8,52.4,110.6,,64.575,,,
2022-06-06,229.2,79.7,114.6,66.15,102.8,49.8,111.65,,64.05,,,
2022-06-13,214.8,80.9,120.0,62.85,99.0,48.7,112.7,,64.575,,,
2022-06-20,204.0,82.4,118.5,59.85,93.8,48.2,114.975,,66.85,,,
2022-06-27,195.6,81.9,106.2,57.6,92.0,46.2,113.575,,67.025,,,
2022-07-04,195.6,83.1,104.4,56.1,89.4,45.5,109.725,,68.775,,,
2022-07-11,204.0,81.9,96.6,54.45,86.0,49.5,110.425,,71.225,,,
2022-07-18,202.8,82.4,94.8,54.0,83.2,54.1,111.825,,77.875,,,
2022-07-25,189.6,81.3,100.5,53.55,80.8,55.5,112.7,,82.075,,,
2022-08-01,183.6,81.3,98.4,53.25,78.6,53.3,112.175,,81.725,,,
2022-08-08,182.4,83.2,105.9,54.0,78.8,53.8,119.35,,79.45,,,
2022-08-15,186.0,85.0,124.2,55.05,76.4,57.6,122.5,,77.175,,,
2022-08-22,176.4,88.0,122.1,55.8,74.2,56.2,129.325,,75.425,,,
2022-08-29,166.8,88.1,139.5,56.55,70.8,58.3,138.6,,77.175,,,
2022-09-05,162.0,86.4,142.5,57.15,67.6,62.7,145.95,,81.375,,,
2022-09-12,164.4,85.8,161.7,57.6,63.8,61.8,148.225,,90.65,,,
2022-09-19,169.2,85.4,174.0,57.0,62.2,59.1,151.725,,95.2,,,
2022-09-26,188.4,85.5,168.0,56.25,60.6,60.2,153.65,,92.225,,,
2022-10-03,194.4,81.4,163.5,,59.6,,156.975,,88.9,117.0,255.0,
2022-10-10,207.6,79.1,166.8,,58.2,,159.775,,84.0,119.5,251.0,
2022-10-17,200.4,78.5,159.9,,56.6,,159.25,,83.825,118.0,228.0,
2022-10-24,194.4,78.2,182.4,,56.0,,160.125,,84.175,116.0,211.0,
2022-10-31,201.6,75.2,181.5,,55.8,,159.075,,83.475,107.0,198.0,
2022-11-07,217.2,72.6,179.7,,54.6,,162.4,,81.725,107.0,188.0,
2022-11-14,217.2,71.4,152.4,,54.8,,165.9,,77.175,100.0,179.0,
2022-11-21,202.8,67.1,130.8,,53.8,,156.275,,71.575,90.5,168.0,
2022-11-28,189.6,64.9,119.1,,54.2,,144.025,,66.85,82.5,155.0,
2022-12-05,168.0,62.4,108.0,,53.6,,137.025,,64.4,74.0,139.0,
2022-12-12,160.8,62.1,107.7,,53.6,,133.0,,63.7,69.5,132.0,
2022-12-19,165.6,64.0,127.2,,54.8,,131.95,,62.825,69.0,136.0,
2022-12-26,189.6,69.6,161.4,,54.6,,131.6,,63.7,73.0,159.0,
2023-01-09,222.0,75.4,205.8,,54.0,,130.55,,65.975,76.5,179.0,
2023-01-16,217.2,68.1,190.2,,54.6,,124.075,,64.75,74.5,168.0,
2023-01-23,216.0,64.7,172.5,,54.2,,122.85,,64.75,76.0,161.0,
2023-01-30,216.0,64.4,161.7,,53.8,,122.675,,64.225,80.5,174.0,
2023-02-06,214.8,63.4,168.0,,54.0,,121.45,,64.225,80.5,179.0,
2023-02-13,218.4,64.2,177.9,,54.0,,121.8,,65.45,82.5,178.0,
2023-02-20,214.8,62.5,166.8,,54.4,,120.575,,66.325,85.5,172.0,
